customer_id,customer_name,email,phone,age,gender,acquisition_date,last_purchase_date,purchase_count,total_spent,product_category,acquisition_channel,city,customer_rating,customer_age_days,days_since_last_purchase,avg_order_value,recency_score,frequency_score,monetary_score,rfm_score,customer_segment,churned
CUST00024,Customer 24,customer24@email.com,9883140807,19,Female,2024-04-27,2026-01-05,25,3610.81,Fashion,Social Media,Bangalore,2.9,681,63,144.4324,3,2,2,322,Potential Loyalists,0
CUST00025,Customer 25,customer25@email.com,9866306997,38,Female,2025-12-22,2025-10-02,29,555.73,Electronics,Social Media,Pune,2.3,77,158,19.163103448275862,1,3,1,131,At Risk,1
CUST00026,Customer 26,customer26@email.com,9839587039,50,Male,2024-06-16,2026-01-19,28,9869.08,Fashion,Paid Ads,Delhi,1.0,631,49,352.46714285714285,3,3,4,334,Champions,0
CUST00027,Customer 27,customer27@email.com,9870291817,29,Female,2024-08-08,2025-12-23,16,2710.61,Fashion,Referral,Mumbai,2.7,578,76,169.413125,3,2,2,322,Potential Loyalists,0
CUST00028,Customer 28,customer28@email.com,9889089901,39,Female,2025-09-08,2025-12-15,12,1353.55,Electronics,Organic,Chennai,2.6,182,84,112.79583333333333,3,1,1,311,Potential Loyalists,0
CUST00029,Customer 29,customer29@email.com,9847338124,61,Female,2025-05-30,2026-02-23,20,3760.55,Books,Email,Delhi,2.7,283,14,188.0275,4,2,2,422,Potential Loyalists,0
CUST00030,Customer 30,customer30@email.com,9810872248,42,Female,2024-05-04,2025-12-27,18,7411.71,Home,Referral,Chennai,3.4,674,72,411.76166666666666,3,2,3,323,Potential Loyalists,0
CUST00031,Customer 31,customer31@email.com,9831429110,66,Female,2025-10-01,2025-10-29,34,3009.77,Home,Paid Ads,Chennai,2.2,159,131,88.52264705882352,2,3,2,232,At Risk,1
CUST00032,Customer 32,customer32@email.com,9866722344,44,Female,2024-06-19,2025-11-03,23,5789.56,Home,Paid Ads,Pune,2.1,628,126,251.72000000000003,2,2,3,223,Lost,1
CUST00033,Customer 33,customer33@email.com,9855667651,59,Female,2025-07-08,2026-02-16,45,4214.04,Electronics,Paid Ads,Mumbai,3.0,244,21,93.64533333333333,4,4,2,442,Champions,0
CUST00034,Customer 34,customer34@email.com,9847295260,45,Female,2024-10-14,2025-09-20,27,1265.86,Fashion,Social Media,Delhi,3.4,511,170,46.8837037037037,1,3,1,131,At Risk,1
CUST00035,Customer 35,customer35@email.com,9830868105,33,Male,2024-05-19,2026-02-20,49,3369.84,Fashion,Organic,Chennai,3.3,659,17,68.77224489795918,4,4,2,442,Champions,0
CUST00036,Customer 36,customer36@email.com,9838898923,32,Male,2025-08-20,2025-10-29,17,7276.22,Sports,Social Media,Pune,4.5,201,131,428.0129411764706,2,2,3,223,Lost,1
CUST00037,Customer 37,customer37@email.com,9855176955,64,Female,2025-01-06,2025-09-24,48,6158.84,Fashion,Social Media,Bangalore,4.1,427,166,128.30916666666667,1,4,3,143,At Risk,1
CUST00038,Customer 38,customer38@email.com,9823718431,68,Female,2024-09-04,2025-12-03,21,1285.81,Books,Social Media,Chennai,1.2,551,96,61.22904761904762,2,2,1,221,Lost,1
CUST00039,Customer 39,customer39@email.com,9822448136,61,Male,2024-09-15,2025-10-27,40,1716.89,Home,Paid Ads,Pune,3.3,540,133,42.922250000000005,2,4,1,241,At Risk,1
CUST00040,Customer 40,customer40@email.com,9860992979,69,Female,2024-10-20,2026-01-22,31,6443.26,Books,Referral,Delhi,2.7,505,46,207.84709677419355,3,3,3,333,Champions,0
CUST00041,Customer 41,customer41@email.com,9822981052,20,Male,2025-03-15,2025-12-03,3,8152.81,Home,Email,Kolkata,2.4,359,96,2717.6033333333335,2,1,4,214,Lost,1
CUST00042,Customer 42,customer42@email.com,9858181396,54,Male,2024-08-18,2025-09-12,17,3559.8,Electronics,Email,Chennai,4.8,568,178,209.4,1,2,2,122,Lost,1
CUST00043,Customer 43,customer43@email.com,9856164955,68,Male,2024-10-01,2025-11-02,26,5993.58,Books,Organic,Bangalore,2.8,524,127,230.5223076923077,2,3,3,233,At Risk,1
CUST00044,Customer 44,customer44@email.com,9891030736,24,Female,2024-10-10,2025-12-30,23,1789.37,Fashion,Organic,Bangalore,3.9,515,69,77.7986956521739,3,2,1,321,Potential Loyalists,0
CUST00045,Customer 45,customer45@email.com,9845503389,38,Female,2024-06-22,2025-11-26,6,3182.63,Home,Paid Ads,Chennai,4.9,625,103,530.4383333333334,2,1,2,212,Lost,1
CUST00046,Customer 46,customer46@email.com,9815831819,26,Female,2024-04-25,2025-10-10,28,300.68,Sports,Email,Delhi,1.6,683,150,10.73857142857143,1,3,1,131,At Risk,1
CUST00047,Customer 47,customer47@email.com,9871662963,56,Male,2024-04-13,2026-02-27,8,7705.93,Books,Referral,Chennai,1.2,695,10,963.24125,4,1,4,414,Potential Loyalists,0
CUST00048,Customer 48,customer48@email.com,9881971316,35,Male,2025-07-10,2026-01-11,45,4070.0,Electronics,Paid Ads,Bangalore,2.3,242,57,90.44444444444444,3,4,2,342,Champions,0
CUST00049,Customer 49,customer49@email.com,9826753883,21,Male,2025-07-15,2025-11-13,8,8179.64,Sports,Organic,Chennai,1.2,237,116,1022.455,2,1,4,214,Lost,1
CUST00050,Customer 50,customer50@email.com,9860806024,42,Female,2025-06-12,2025-11-27,19,7112.89,Electronics,Paid Ads,Bangalore,1.5,270,102,374.3626315789474,2,2,3,223,Lost,1
CUST00051,Customer 51,customer51@email.com,9820576383,31,Male,2025-06-29,2025-12-20,38,8304.57,Home,Organic,Kolkata,5.0,253,79,218.54131578947369,3,4,4,344,Champions,0
CUST00052,Customer 52,customer52@email.com,9884093639,67,Male,2024-11-29,2025-12-02,29,2928.02,Books,Email,Chennai,4.8,465,97,100.96620689655172,2,3,2,232,At Risk,1
CUST00053,Customer 53,customer53@email.com,9849349722,26,Female,2024-07-02,2026-01-27,23,1932.58,Electronics,Paid Ads,Mumbai,3.8,615,41,84.02521739130434,4,2,1,421,Potential Loyalists,0
CUST00054,Customer 54,customer54@email.com,9894374605,43,Male,2025-01-20,2026-01-02,47,9721.87,Sports,Social Media,Chennai,4.0,413,66,206.84829787234045,3,4,4,344,Champions,0
CUST00055,Customer 55,customer55@email.com,9893016315,19,Male,2024-07-24,2026-02-15,32,7201.55,Sports,Organic,Bangalore,1.6,593,22,225.0484375,4,3,3,433,Champions,0
CUST00056,Customer 56,customer56@email.com,9858537831,37,Female,2025-09-23,2026-02-15,10,8357.02,Fashion,Social Media,Delhi,3.4,167,22,835.702,4,1,4,414,Potential Loyalists,0
CUST00057,Customer 57,customer57@email.com,9887490893,45,Female,2025-04-11,2025-11-15,27,230.02,Electronics,Organic,Bangalore,1.6,332,114,8.51925925925926,2,3,1,231,At Risk,1
CUST00058,Customer 58,customer58@email.com,9835808537,64,Male,2024-08-25,2025-12-08,49,3609.17,Books,Social Media,Kolkata,2.5,561,91,73.6565306122449,2,4,2,242,At Risk,1
CUST00059,Customer 59,customer59@email.com,9819335534,24,Female,2025-06-17,2025-10-10,1,7453.89,Books,Email,Delhi,2.4,265,150,7453.89,1,1,3,113,Lost,1
CUST00060,Customer 60,customer60@email.com,9816150444,61,Male,2025-12-27,2025-11-09,39,872.03,Fashion,Email,Mumbai,3.5,72,120,22.35974358974359,2,4,1,241,At Risk,1
CUST00061,Customer 61,customer61@email.com,9898753260,25,Female,2024-09-01,2025-09-30,29,5716.67,Sports,Referral,Mumbai,1.3,554,160,197.12655172413793,1,3,3,133,At Risk,1
CUST00062,Customer 62,customer62@email.com,9840587988,64,Male,2025-02-28,2025-11-19,45,4347.82,Electronics,Referral,Kolkata,1.4,374,110,96.61822222222222,2,4,2,242,At Risk,1
CUST00063,Customer 63,customer63@email.com,9848840994,52,Female,2024-11-03,2025-11-09,3,274.4,Sports,Referral,Kolkata,3.4,491,120,91.46666666666665,2,1,1,211,Lost,1
CUST00064,Customer 64,customer64@email.com,9820709497,31,Male,2024-11-22,2025-11-24,47,2436.16,Electronics,Paid Ads,Kolkata,3.5,472,105,51.8331914893617,2,4,1,241,At Risk,1
CUST00065,Customer 65,customer65@email.com,9841244663,34,Female,2025-01-27,2025-11-01,37,2919.44,Electronics,Organic,Pune,2.4,406,128,78.90378378378378,2,3,2,232,At Risk,1
CUST00066,Customer 66,customer66@email.com,9823556182,53,Female,2025-03-20,2025-12-29,31,1207.41,Electronics,Paid Ads,Kolkata,1.6,354,70,38.94870967741936,3,3,1,331,Champions,0
CUST00067,Customer 67,customer67@email.com,9861019678,67,Female,2025-01-12,2026-03-02,11,6352.22,Sports,Referral,Chennai,4.5,421,7,577.4745454545455,4,1,3,413,Potential Loyalists,0
CUST00068,Customer 68,customer68@email.com,9847308985,57,Female,2025-08-08,2025-11-15,22,2499.74,Sports,Organic,Bangalore,1.2,213,114,113.62454545454544,2,2,1,221,Lost,1
CUST00069,Customer 69,customer69@email.com,9870855700,21,Female,2025-06-13,2025-12-31,18,2848.43,Sports,Paid Ads,Pune,3.9,269,68,158.2461111111111,3,2,2,322,Potential Loyalists,0
CUST00070,Customer 70,customer70@email.com,9895320121,19,Female,2024-04-18,2026-02-17,35,8992.56,Home,Email,Chennai,1.6,690,20,256.9302857142857,4,3,4,434,Champions,0
CUST00071,Customer 71,customer71@email.com,9858966946,23,Female,2025-02-05,2026-02-15,6,4724.52,Sports,Organic,Delhi,3.5,397,22,787.4200000000001,4,1,2,412,Potential Loyalists,0
CUST00072,Customer 72,customer72@email.com,9831831063,59,Male,2025-04-12,2025-10-31,3,3982.07,Fashion,Referral,Mumbai,3.7,331,129,1327.3566666666668,2,1,2,212,Lost,1
CUST00073,Customer 73,customer73@email.com,9859684848,21,Male,2024-08-31,2025-10-20,5,7266.32,Home,Email,Mumbai,4.2,555,140,1453.264,1,1,3,113,Lost,1
CUST00074,Customer 74,customer74@email.com,9857683626,46,Female,2024-04-19,2026-02-16,9,9105.18,Electronics,Organic,Delhi,2.6,689,21,1011.6866666666667,4,1,4,414,Potential Loyalists,0
CUST00075,Customer 75,customer75@email.com,9838119557,35,Female,2025-04-30,2026-01-09,28,347.86,Books,Paid Ads,Mumbai,1.1,313,59,12.42357142857143,3,3,1,331,Champions,0
CUST00076,Customer 76,customer76@email.com,9899949389,43,Male,2025-10-30,2026-02-06,19,4537.56,Home,Referral,Kolkata,4.2,130,31,238.81894736842108,4,2,2,422,Potential Loyalists,0
CUST00077,Customer 77,customer77@email.com,9845833156,61,Male,2025-11-26,2025-12-06,28,6146.74,Home,Paid Ads,Kolkata,2.8,103,93,219.52642857142857,2,3,3,233,At Risk,1
CUST00078,Customer 78,customer78@email.com,9896977837,51,Female,2025-12-30,2025-10-20,27,3253.77,Electronics,Email,Pune,4.4,69,140,120.51,1,3,2,132,At Risk,1
CUST00079,Customer 79,customer79@email.com,9819583482,27,Male,2025-07-17,2025-12-13,13,7746.84,Sports,Email,Kolkata,4.1,235,86,595.9107692307692,3,1,4,314,Potential Loyalists,0
CUST00080,Customer 80,customer80@email.com,9891756179,53,Male,2025-07-21,2025-09-17,38,9717.62,Sports,Email,Delhi,3.0,231,173,255.7268421052632,1,4,4,144,At Risk,1
CUST00081,Customer 81,customer81@email.com,9895225343,31,Female,2025-03-07,2026-01-03,43,9439.93,Home,Organic,Bangalore,5.0,367,65,219.5332558139535,3,4,4,344,Champions,0
CUST00082,Customer 82,customer82@email.com,9832969840,48,Female,2025-04-04,2025-09-15,21,2733.23,Sports,Referral,Delhi,2.8,339,175,130.1538095238095,1,2,2,122,Lost,1
CUST00083,Customer 83,customer83@email.com,9881691040,65,Female,2025-05-02,2026-01-19,27,2340.75,Home,Email,Bangalore,3.8,311,49,86.69444444444444,3,3,1,331,Champions,0
CUST00084,Customer 84,customer84@email.com,9842857966,32,Male,2024-05-30,2026-02-01,46,9579.16,Books,Paid Ads,Mumbai,3.7,648,36,208.24260869565217,4,4,4,444,Champions,0
CUST00085,Customer 85,customer85@email.com,9831931511,25,Female,2024-07-31,2026-01-01,6,4640.42,Books,Referral,Pune,3.1,586,67,773.4033333333333,3,1,2,312,Potential Loyalists,0
CUST00086,Customer 86,customer86@email.com,9872043515,31,Female,2026-01-30,2025-12-22,38,2162.15,Electronics,Paid Ads,Mumbai,3.3,38,77,56.89868421052632,3,4,1,341,Champions,0
CUST00087,Customer 87,customer87@email.com,9860929647,40,Male,2025-04-25,2025-12-10,49,7099.27,Fashion,Paid Ads,Mumbai,4.2,318,89,144.8830612244898,3,4,3,343,Champions,0
CUST00088,Customer 88,customer88@email.com,9846231783,57,Female,2024-12-21,2025-11-25,11,2915.76,Fashion,Email,Bangalore,3.3,443,104,265.0690909090909,2,1,2,212,Lost,1
CUST00089,Customer 89,customer89@email.com,9895899313,38,Male,2024-06-24,2025-09-22,47,2745.75,Sports,Referral,Mumbai,2.8,623,168,58.420212765957444,1,4,2,142,At Risk,1
CUST00090,Customer 90,customer90@email.com,9884752529,33,Male,2026-01-26,2025-11-08,41,8804.57,Fashion,Social Media,Delhi,3.6,42,121,214.74560975609756,2,4,4,244,At Risk,1
CUST00091,Customer 91,customer91@email.com,9839476249,62,Male,2024-04-09,2025-10-28,17,1708.54,Books,Organic,Bangalore,1.1,699,132,100.50235294117647,2,2,1,221,Lost,1
CUST00092,Customer 92,customer92@email.com,9853524491,35,Male,2025-09-08,2025-11-27,39,737.49,Electronics,Social Media,Kolkata,1.4,182,102,18.91,2,4,1,241,At Risk,1
CUST00093,Customer 93,customer93@email.com,9817507864,64,Male,2025-06-19,2026-01-09,7,2764.95,Books,Organic,Bangalore,1.5,263,59,394.99285714285713,3,1,2,312,Potential Loyalists,0
CUST00094,Customer 94,customer94@email.com,9840742311,41,Male,2025-07-08,2025-11-07,30,6108.76,Home,Referral,Delhi,2.7,244,122,203.62533333333334,2,3,3,233,At Risk,1
CUST00095,Customer 95,customer95@email.com,9814308421,43,Female,2025-06-13,2025-10-27,21,1318.57,Sports,Email,Pune,4.5,269,133,62.789047619047615,2,2,1,221,Lost,1
CUST00096,Customer 96,customer96@email.com,9852339391,42,Female,2024-06-16,2025-10-18,1,4768.79,Sports,Referral,Delhi,3.6,631,142,4768.79,1,1,2,112,Lost,1
CUST00097,Customer 97,customer97@email.com,9863843426,62,Female,2024-10-16,2025-11-10,25,6310.64,Fashion,Social Media,Delhi,4.9,509,119,252.4256,2,2,3,223,Lost,1
CUST00098,Customer 98,customer98@email.com,9845935572,58,Male,2025-02-24,2026-02-15,32,8502.5,Home,Paid Ads,Mumbai,1.2,378,22,265.703125,4,3,4,434,Champions,0
CUST00099,Customer 99,customer99@email.com,9818883684,46,Female,2025-03-24,2026-01-19,8,2375.71,Fashion,Organic,Pune,3.9,350,49,296.96375,3,1,1,311,Potential Loyalists,0
CUST00100,Customer 100,customer100@email.com,9838317637,32,Male,2024-11-25,2025-09-11,5,8191.73,Fashion,Organic,Kolkata,2.3,469,179,1638.346,1,1,4,114,Lost,1
CUST00101,Customer 101,customer101@email.com,9886125617,62,Female,2024-12-07,2026-01-14,30,2425.57,Fashion,Social Media,Pune,1.1,457,54,80.85233333333333,3,3,1,331,Champions,0
CUST00102,Customer 102,customer102@email.com,9852235350,18,Male,2024-11-15,2025-11-13,8,6799.99,Home,Email,Kolkata,4.3,479,116,849.99875,2,1,3,213,Lost,1
CUST00103,Customer 103,customer103@email.com,9838538251,42,Female,2024-07-16,2026-03-01,49,4363.67,Fashion,Referral,Chennai,1.7,601,8,89.05448979591837,4,4,2,442,Champions,0
CUST00104,Customer 104,customer104@email.com,9897971488,24,Male,2025-01-20,2026-02-01,19,1235.34,Sports,Social Media,Pune,1.9,413,36,65.0178947368421,4,2,1,421,Potential Loyalists,0
CUST00105,Customer 105,customer105@email.com,9877005685,26,Female,2024-06-26,2026-02-04,44,7171.21,Fashion,Referral,Pune,2.4,621,33,162.98204545454544,4,4,3,443,Champions,0
CUST00106,Customer 106,customer106@email.com,9863100814,41,Male,2025-04-01,2026-03-06,30,2255.85,Home,Email,Delhi,4.2,342,3,75.195,4,3,1,431,Champions,0
CUST00107,Customer 107,customer107@email.com,9896282117,18,Female,2024-09-14,2025-09-21,15,1848.57,Home,Paid Ads,Pune,3.5,541,169,123.238,1,2,1,121,Lost,1
CUST00108,Customer 108,customer108@email.com,9871586053,61,Male,2025-02-09,2025-12-12,36,3647.4,Books,Referral,Mumbai,2.1,393,87,101.31666666666666,3,3,2,332,Champions,0
CUST00109,Customer 109,customer109@email.com,9829175900,25,Female,2025-06-22,2025-11-21,44,6567.57,Fashion,Email,Bangalore,1.7,260,108,149.26295454545453,2,4,3,243,At Risk,1
CUST00110,Customer 110,customer110@email.com,9845551614,41,Female,2024-11-29,2025-09-14,27,2416.57,Home,Social Media,Mumbai,1.4,465,176,89.50259259259259,1,3,1,131,At Risk,1
CUST00111,Customer 111,customer111@email.com,9828740864,28,Female,2024-12-21,2025-09-13,13,1918.25,Fashion,Paid Ads,Delhi,1.6,443,177,147.55769230769232,1,1,1,111,Lost,1
CUST00112,Customer 112,customer112@email.com,9843101783,68,Male,2024-08-06,2025-12-22,14,198.54,Electronics,Paid Ads,Mumbai,4.5,580,77,14.18142857142857,3,2,1,321,Potential Loyalists,0
CUST00113,Customer 113,customer113@email.com,9885345555,34,Male,2025-03-11,2025-10-09,37,4769.27,Sports,Paid Ads,Pune,4.7,363,151,128.8991891891892,1,3,2,132,At Risk,1
CUST00114,Customer 114,customer114@email.com,9882340307,25,Male,2026-01-15,2025-10-14,48,4343.59,Sports,Organic,Delhi,4.9,53,146,90.49145833333334,1,4,2,142,At Risk,1
CUST00115,Customer 115,customer115@email.com,9845264581,52,Male,2026-01-06,2026-02-01,30,2415.29,Fashion,Email,Pune,4.3,62,36,80.50966666666666,4,3,1,431,Champions,0
CUST00116,Customer 116,customer116@email.com,9888461803,52,Male,2025-09-03,2025-12-14,39,631.16,Sports,Referral,Bangalore,4.5,187,85,16.183589743589742,3,4,1,341,Champions,0
CUST00117,Customer 117,customer117@email.com,9867503414,50,Female,2024-07-06,2025-09-28,47,4349.63,Sports,Social Media,Bangalore,4.3,611,162,92.54531914893617,1,4,2,142,At Risk,1
CUST00118,Customer 118,customer118@email.com,9888320463,22,Male,2024-05-31,2025-10-04,13,7903.23,Electronics,Paid Ads,Kolkata,4.8,647,156,607.9407692307692,1,1,4,114,Lost,1
CUST00119,Customer 119,customer119@email.com,9863606628,59,Female,2024-06-30,2025-11-28,16,7181.29,Sports,Paid Ads,Pune,4.4,617,101,448.830625,2,2,3,223,Lost,1
CUST00120,Customer 120,customer120@email.com,9858586340,56,Female,2025-01-13,2026-01-15,44,8621.87,Sports,Paid Ads,Chennai,2.8,420,53,195.95159090909092,3,4,4,344,Champions,0
CUST00121,Customer 121,customer121@email.com,9839436733,58,Male,2025-01-03,2026-02-20,7,194.87,Home,Email,Mumbai,2.3,430,17,27.83857142857143,4,1,1,411,Potential Loyalists,0
CUST00122,Customer 122,customer122@email.com,9828566572,45,Female,2024-08-09,2025-11-30,48,9667.55,Sports,Social Media,Chennai,3.3,577,99,201.40729166666665,2,4,4,244,At Risk,1
CUST00123,Customer 123,customer123@email.com,9878387461,24,Male,2025-07-30,2025-11-07,27,3479.98,Fashion,Email,Mumbai,3.4,222,122,128.88814814814816,2,3,2,232,At Risk,1
CUST00124,Customer 124,customer124@email.com,9876238574,26,Male,2025-10-19,2025-12-14,45,9904.94,Sports,Social Media,Kolkata,3.3,141,85,220.1097777777778,3,4,4,344,Champions,0
CUST00125,Customer 125,customer125@email.com,9822201654,25,Male,2024-07-04,2025-11-13,35,2600.93,Fashion,Referral,Kolkata,3.8,613,116,74.31228571428571,2,3,1,231,At Risk,1
CUST00126,Customer 126,customer126@email.com,9816323852,29,Female,2024-04-24,2025-12-21,15,4768.21,Sports,Organic,Bangalore,3.8,684,78,317.8806666666667,3,2,2,322,Potential Loyalists,0
CUST00127,Customer 127,customer127@email.com,9824716857,51,Male,2025-11-04,2026-01-24,28,3603.88,Fashion,Social Media,Bangalore,1.3,125,44,128.71,4,3,2,432,Champions,0
CUST00128,Customer 128,customer128@email.com,9830514014,50,Male,2025-10-24,2025-09-17,35,3622.03,Sports,Email,Pune,2.1,136,173,103.48657142857144,1,3,2,132,At Risk,1
CUST00129,Customer 129,customer129@email.com,9894214382,65,Male,2024-07-21,2026-01-22,7,8438.59,Fashion,Email,Bangalore,4.6,596,46,1205.5128571428572,3,1,4,314,Potential Loyalists,0
CUST00130,Customer 130,customer130@email.com,9831472420,40,Female,2026-01-06,2025-09-13,46,7489.55,Sports,Email,Pune,3.4,62,177,162.8163043478261,1,4,3,143,At Risk,1
CUST00131,Customer 131,customer131@email.com,9866661351,41,Male,2024-05-31,2025-11-03,46,9922.3,Electronics,Organic,Mumbai,2.3,647,126,215.70217391304345,2,4,4,244,At Risk,1
CUST00132,Customer 132,customer132@email.com,9890048665,54,Female,2026-01-11,2026-01-20,20,6173.8,Home,Social Media,Pune,4.4,57,48,308.69,3,2,3,323,Potential Loyalists,0
CUST00133,Customer 133,customer133@email.com,9818526544,52,Female,2025-07-19,2026-02-19,32,4686.24,Home,Social Media,Chennai,2.0,233,18,146.445,4,3,2,432,Champions,0
CUST00134,Customer 134,customer134@email.com,9861642594,61,Male,2025-01-08,2025-12-26,38,991.73,Home,Social Media,Chennai,2.6,425,73,26.098157894736843,3,4,1,341,Champions,0
CUST00135,Customer 135,customer135@email.com,9861220073,57,Female,2025-07-12,2026-01-08,40,9965.96,Home,Social Media,Bangalore,2.1,240,60,249.14899999999997,3,4,4,344,Champions,0
CUST00136,Customer 136,customer136@email.com,9889978790,39,Female,2025-04-15,2025-09-21,32,5560.15,Electronics,Paid Ads,Kolkata,4.5,328,169,173.7546875,1,3,3,133,At Risk,1
CUST00137,Customer 137,customer137@email.com,9872820592,44,Male,2024-08-20,2026-02-19,26,7034.73,Electronics,Paid Ads,Chennai,3.9,566,18,270.56653846153847,4,3,3,433,Champions,0
CUST00138,Customer 138,customer138@email.com,9881016525,52,Male,2024-10-30,2026-02-22,39,4126.75,Sports,Email,Kolkata,2.8,495,15,105.81410256410257,4,4,2,442,Champions,0
CUST00139,Customer 139,customer139@email.com,9843744231,18,Male,2025-01-26,2025-10-27,20,5522.39,Electronics,Paid Ads,Bangalore,4.7,407,133,276.1195,2,2,3,223,Lost,1
CUST00140,Customer 140,customer140@email.com,9884252722,52,Female,2026-01-27,2026-01-24,18,9431.52,Home,Social Media,Mumbai,4.7,41,44,523.9733333333334,4,2,4,424,Potential Loyalists,0
CUST00141,Customer 141,customer141@email.com,9811540956,54,Male,2025-03-10,2025-11-23,15,1747.55,Books,Social Media,Pune,3.8,364,106,116.50333333333333,2,2,1,221,Lost,1
CUST00142,Customer 142,customer142@email.com,9825374874,64,Female,2025-01-03,2026-01-27,22,2994.49,Sports,Paid Ads,Delhi,4.6,430,41,136.1131818181818,4,2,2,422,Potential Loyalists,0
CUST00143,Customer 143,customer143@email.com,9882070937,31,Female,2025-10-17,2026-02-03,22,1605.39,Fashion,Referral,Chennai,3.9,143,34,72.97227272727274,4,2,1,421,Potential Loyalists,0
